league,player,team,season,pos,age,minutes,nineties,goals_per90,assists_per90,ga_per90,shots_per90,sot_per90,g_per_sh,crosses_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,season_end_year,us_position,us_minutes,npxg,xg,xa,np_goals,goals_us,key_passes,shots_us,xg_chain,xg_buildup,npxg_per90,xa_per90,npxg_xa_per90,key_passes_per90,key_passes_per100,goals_minus_npxg,goals_minus_npxg_per90,npxg_per_shot,in_bundesliga,crosses_per90_z,fouls_drawn_per90_z,sot_per90_z,npxg_xa_per90_z,winger_score,likely_winger,side_review,sofifa_player_id,fc_overall,fc_potential,fc_age,fc_value_eur,fc_pos,fifa_edition,sofifa_update,sofifa_version_id
GER-Bundesliga,André Silva,RB Leipzig,2223,FW,26,1738,19.3,0.21,0.16,0.36,3.06,1.19,0.07,0.2072538860103626,2.2797927461139897,1.6580310880829014,0.5181347150259067,2023,,,,,,,,,,,,,,,,,,,,True,-0.971909106785113,1.3809972119579663,0.7172329095120114,,0.3754403382282882,True,,,,,,,,,,
ITA-Serie A,Christian Pulisic,Milan,2526,FW,26,1609,17.9,0.45,0.22,0.67,3.02,1.4,0.15,2.0670391061452515,1.2849162011173183,0.6145251396648045,0.1675977653631285,2026,,,,,,,,,,,,,,,,,,,,False,0.0589377763354635,-0.1392049746642769,1.2055001270761536,,0.37507764291578,True,,239097.0,68.0,72.0,25.0,1200000.0,ST,FIFA 20,"Aug 20, 2019",200001.0
ESP-La Liga,Nicolás González,Atlético Madrid,2526,"MF,DF",27,1448,16.1,0.31,0.0,0.31,2.67,1.31,0.12,1.6770186335403725,1.5527950310559004,1.7391304347826086,0.124223602484472,2026,,,,,,,,,,,,,,,,,,,,False,-0.1572438473193332,0.2701221776044529,0.996242748120093,,0.3697070261350709,True,,,,,,,,,,
GER-Bundesliga,Marius Bülter,Köln,2526,"FW,MF",32,1597,17.7,0.28,0.23,0.51,2.37,0.96,0.12,3.5028248587570623,1.4124293785310735,0.96045197740113,0.3389830508474576,2026,,,,,,,,,,,,,,,,,,,,True,0.8547690647470725,0.0556391113707285,0.1824640521798553,,0.3642907427658854,True,,244390.0,76.0,76.0,32.0,6000000.0,ST,FC 26,"Aug 7, 2025",260001.0
GER-Bundesliga,Danel Sinani,St Pauli,2425,"FW,MF",27,1250,13.9,0.14,0.14,0.29,2.52,0.86,0.06,5.0359712230215825,1.0071942446043165,1.7985611510791366,0.2877697841726618,2025,,,,,,,,,,,,,,,,,,,,True,1.7045656616116809,-0.5635727293242141,-0.0500441466602124,,0.3636495952090847,True,,238072.0,70.0,80.0,21.0,2500000.0,CDM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Amine Harit,Schalke 04,2021,"MF,FW",23,2101,23.3,0.09,0.21,0.3,0.94,0.26,0.09,3.1759656652360513,3.3905579399141628,1.2017167381974247,0.3004291845493562,2021,F M S,2123.0,1.570903996936977,1.570903996936977,4.626862993463874,2.0,2.0,50.0,22.0,7.832757381722331,3.475557617843151,0.0665950823006726,0.196145864065826,0.2627409463664986,2.119642016015073,2.3551577955723033,0.4290960030630231,0.0181905983399303,0.0714047271334989,True,0.6735966491301759,3.0782808447171974,-1.4450933397006196,-0.8549627290895933,0.3629553562642902,True,,232097.0,77.0,83.0,23.0,16500000.0,CAM,FIFA 21,"Aug 24, 2020",210001.0
ENG-Premier League,Leon Bailey,Aston Villa,2324,MF,25,2068,23.0,0.44,0.39,0.83,2.31,0.78,0.19,3.347826086956522,1.1304347826086956,1.1304347826086956,0.4782608695652174,2024,F M S,2112.0,6.4655649326741695,6.4655649326741695,10.29915790259838,10.0,10.0,51.0,53.0,17.98974223807454,6.671372391283512,0.2755212329264561,0.4388845697129992,0.7144058026394553,2.1732954545454546,2.414772727272727,3.5344350673258305,0.1506151307099075,0.1219917911825315,False,0.7688559178587905,-0.3752573686928248,-0.2360507057322666,1.292668925408749,0.3625541922106119,True,,,,,,,,,,
ESP-La Liga,Nicolas Jackson,Villarreal,2223,FW,21,1598,17.8,0.68,0.23,0.9,2.31,1.3,0.29,0.2808988764044943,1.4606741573033708,1.797752808988764,0.7303370786516854,2023,F S,1617.0,8.56287157163024,8.56287157163024,4.143055668100715,12.0,12.0,22.0,41.0,15.196007523685694,3.050466211512685,0.476597675600941,0.2305967904323218,0.7071944660332629,1.2244897959183674,1.3605442176870748,3.4371284283697605,0.1913058494454412,0.2088505261373229,False,-0.9310889583167168,0.1293586281807244,0.9729919282360862,1.2583795744627853,0.3574102931407198,True,,257020.0,72.0,75.0,26.0,3100000.0,ST,FC 25,"Aug 7, 2024",250001.0
GER-Bundesliga,Elias Saad,St Pauli,2425,"FW,MF",24,900,10.0,0.3,0.2,0.5,2.6,0.8,0.12,1.4,2.4,1.7,0.7,2025,,,,,,,,,,,,,,,,,,,,True,-0.3107904998358547,1.5646776204713455,-0.189549065964253,,0.3547793515570792,True,,,,,,,,,,
GER-Bundesliga,Marcus Thuram,Gladbach,2223,FW,24,2513,27.9,0.47,0.21,0.68,3.29,1.58,0.14,0.3942652329749104,1.5770609318996416,1.2186379928315412,0.6451612903225806,2023,,,,,,,,,,,,,,,,,,,,True,-0.8682519414095314,0.3072012259632996,1.6240148849882765,,0.3543213898473481,True,,228093.0,78.0,83.0,24.0,21500000.0,ST,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Thomas Müller,Bayern Munich,1819,MF,28,2378,26.4,0.23,0.34,0.57,2.42,1.02,0.09,2.0454545454545454,0.9090909090909092,0.8712121212121212,0.5681818181818182,2019,F M S,2403.0,10.931040298193691,10.931040298193691,10.700433865189552,6.0,6.0,60.0,64.0,26.969426408410072,14.559245770797132,0.4094022583593144,0.4007653133029795,0.8101675716622938,2.247191011235955,2.4968789013732833,-4.931040298193693,-0.1846831572357188,0.1707975046592764,True,0.0469738264821962,-0.7134776656828418,0.3219689714838961,1.7480087721731794,0.3508684761141075,True,,189596.0,86.0,86.0,28.0,46000000.0,CF,FIFA 19,"Aug 21, 2018",190002.0
